message_id,detected_class,confidence_score
22847,bottle,0.801
22848,person,0.597
22848,person,0.325
22851,bottle,0.588
22851,bottle,0.319
22857,bottle,0.502
22859,bottle,0.579
22860,bottle,0.385
22861,person,0.597
22861,person,0.325
22862,bottle,0.932
22863,bottle,0.904
22863,dining table,0.338
22864,dining table,0.293
22865,bottle,0.724
22867,book,0.275
22868,bottle,0.28
22870,bottle,0.571
22871,book,0.35
22871,bottle,0.263
22872,bottle,0.916
22872,bottle,0.819
22873,bottle,0.869
22874,cell phone,0.463
22876,bottle,0.571
22879,person,0.624
22879,surfboard,0.366
22882,bottle,0.831
22884,teddy bear,0.318
22889,bottle,0.87
22890,bottle,0.484
22890,dining table,0.295
22891,bottle,0.588
22891,bottle,0.319
22892,parking meter,0.255
22893,person,0.624
22893,surfboard,0.366
22894,person,0.679
22894,stop sign,0.272
22896,bottle,0.655
22896,bottle,0.638
22896,bottle,0.619
22896,bottle,0.608
22896,bottle,0.605
22896,bottle,0.593
22896,bottle,0.588
22896,bottle,0.569
22896,bottle,0.568
22896,bottle,0.562
22896,bottle,0.537
22896,bottle,0.52
22896,bottle,0.505
22896,bottle,0.491
22896,bottle,0.49
22896,bottle,0.49
22896,bottle,0.486
22896,bottle,0.442
22896,bottle,0.439
22896,bottle,0.389
22896,bottle,0.34
22896,bottle,0.324
22896,bottle,0.315
22896,bottle,0.297
22896,bottle,0.285
22897,bottle,0.855
22897,bottle,0.798
22897,bottle,0.776
22897,bottle,0.67
22897,bottle,0.624
22897,bottle,0.57
22898,suitcase,0.322
22899,oven,0.253
22901,bottle,0.519
22904,bottle,0.588
22904,bottle,0.319
22907,refrigerator,0.482
22908,orange,0.69
22908,orange,0.598
22908,apple,0.342
22908,cup,0.272
22909,parking meter,0.255
22911,bottle,0.571
22914,bottle,0.502
22915,cell phone,0.32
22916,person,0.624
22916,surfboard,0.366
22917,person,0.679
22917,stop sign,0.272
22918,clock,0.27
22919,cake,0.549
22920,bottle,0.902
22921,bottle,0.816
22921,bottle,0.463
22922,bottle,0.351
22928,bottle,0.87
22929,bottle,0.484
22929,dining table,0.295
22930,parking meter,0.255
22931,person,0.624
22931,surfboard,0.366
22934,bottle,0.588
22934,bottle,0.319
22936,refrigerator,0.482
22937,orange,0.69
22937,orange,0.598
22937,apple,0.342
22937,cup,0.272
22939,clock,0.27
22940,bottle,0.422
22940,apple,0.309
22940,apple,0.282
22941,bottle,0.933
22942,bottle,0.902
22943,bottle,0.816
22943,bottle,0.463
22944,bottle,0.351
22952,bottle,0.28
22953,bottle,0.579
